Date,FilingDate,FilingID,Company,Shares,Value,Form,Source,ParserMethod,DateQuality
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Millennium Pharmaceuticals, Inc.",6406052,98589140,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,CDW Corporation,1682722,97160368,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Sun Microsystems, Inc.",27476343,90946695,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,QLogic Corporation,1878723,88318768,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"BEA Systems, Inc.",7278183,87702105,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Synopsys, Inc.",2779026,85510630,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Citrix Systems, Inc.",3823829,84430144,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Express Scripts, Inc.",1371327,83856646,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Mercury Interactive Corporation,1845786,83817142,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Check Point Software Technologies Ltd.,4750515,79808652,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Microchip Technology Incorporated,3331309,79751537,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Patterson Dental Company,1279078,73649311,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Juniper Networks, Inc.",4930214,73558792,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Dollar Tree Stores, Inc.",2151045,72060008,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Pixar,1073213,71433057,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Smurfit-Stone Container Corporation,4709861,70553718,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Expeditors International of Washington, Inc",2009928,69161622,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Sigma-Aldrich Corporation,1329739,69066644,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Ross Stores, Inc.",1474694,68366814,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Lincare Holdings Inc.,1856846,68053406,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,DENTSPLY International Inc.,1482807,66489066,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,American Power Conversion Corporation,3877965,66468320,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,CIENA Corporation,10883827,64323418,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"PETsMART, Inc.",2741635,62235115,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"C.H. Robinson Worldwide, Inc.",1635251,60847690,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"VeriSign, Inc.",4435626,59747882,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Monster Worldwide Inc.,2356800,59344224,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,PanAmSat Corporation,3955328,57273149,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Comverse Technology, Inc.",3822763,57188534,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Molex Incorporated,1923229,54985117,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Gentex Corporation,1555202,54183237,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,NVIDIA Corporation,3394822,54015013,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Fastenal Company,1418337,53613139,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Invitrogen Corporation,922342,53486613,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,First Health Group Corp.,1926822,50386395,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Ryanair Holdings plc,1188047,48115904,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Lamar Advertising Company,1628312,47774674,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"ADC Telecommunications, Inc.",19659022,45805521,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Cephalon, Inc.",994586,45671389,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,ICOS Corporation,1187145,45491396,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Henry Schein, Inc.",790733,44834561,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Patterson-UTI Energy, Inc.",1633447,44217410,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"RF Micro Devices, Inc.",4103453,38121079,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,LM Ericsson Telephone Company,2383062,34983351,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Human Genome Sciences, Inc.",2513299,34331665,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Tellabs, Inc.",4602261,31249353,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,"Brocade Communications Systems, Inc.",5126688,26761312,485BPOS,SEC,text-schedule,reported-as-of
2003-09-30,2004-01-30,2004-01-30_0001206774-04-000023_d13831.txt,Compuware Corporation,4616223,24742956,485BPOS,SEC,text-schedule,reported-as-of
