Date,Count,Top,BufferRule,Type,Tickers,Weights,PriceTickers
2017-12-18,9,AAPL,True,Recon,AAPL|MSFT|AMZN|FB|GOOG|GOOGL|INTC|CSCO|CMCSA,0.258310|0.188597|0.162125|0.121495|0.106177|0.091677|0.061619|0.005000|0.005000,AAPL|AMZN|CMCSA|CSCO|GOOG|GOOGL|INTC|META|MSFT
2018-03-19,9,AAPL,True,Rebal,AAPL|AMZN|MSFT|FB|GOOG|GOOGL|INTC|CSCO|CMCSA,0.240887|0.197441|0.190339|0.108816|0.101747|0.087228|0.063543|0.005000|0.005000,AAPL|AMZN|CMCSA|CSCO|GOOG|GOOGL|INTC|META|MSFT
2018-06-18,9,AAPL,True,Rebal,AAPL|AMZN|MSFT|FB|GOOG|GOOGL|INTC|CSCO|NFLX,0.224845|0.207376|0.190763|0.117962|0.101266|0.087260|0.060527|0.005000|0.005000,AAPL|AMZN|CSCO|GOOG|GOOGL|INTC|META|MSFT|NFLX
2018-09-24,9,AAPL,True,Rebal,AAPL|AMZN|MSFT|GOOG|FB|GOOGL|CSCO|INTC|CMCSA,0.246723|0.218284|0.203439|0.094982|0.092293|0.081574|0.052706|0.005000|0.005000,AAPL|AMZN|CMCSA|CSCO|GOOG|GOOGL|INTC|META|MSFT
2018-12-24,9,MSFT,True,Recon,MSFT|AAPL|AMZN|GOOG|FB|GOOGL|INTC|CSCO|CMCSA,0.221746|0.217865|0.201379|0.104929|0.091915|0.090420|0.061747|0.005000|0.005000,AAPL|AMZN|CMCSA|CSCO|GOOG|GOOGL|INTC|META|MSFT
2019-03-18,9,MSFT,True,Rebal,MSFT|AMZN|AAPL|GOOG|FB|GOOGL|INTC|CSCO|CMCSA,0.219685|0.210932|0.207945|0.101431|0.095366|0.089551|0.065090|0.005000|0.005000,AAPL|AMZN|CMCSA|CSCO|GOOG|GOOGL|INTC|META|MSFT
2019-06-24,9,MSFT,True,Rebal,MSFT|AMZN|AAPL|FB|GOOG|GOOGL|CSCO|INTC|CMCSA,0.238330|0.214518|0.203314|0.105961|0.088448|0.077889|0.061541|0.005000|0.005000,AAPL|AMZN|CMCSA|CSCO|GOOG|GOOGL|INTC|META|MSFT
2019-09-23,9,MSFT,True,Rebal,MSFT|AAPL|AMZN|FB|GOOG|GOOGL|INTC|CSCO|CMCSA,0.236348|0.219901|0.196500|0.100930|0.096082|0.084568|0.055671|0.005000|0.005000,AAPL|AMZN|CMCSA|CSCO|GOOG|GOOGL|INTC|META|MSFT
2019-12-23,9,AAPL,True,Recon,AAPL|MSFT|AMZN|FB|GOOGL|GOOG|INTC|CSCO|CMCSA,0.244751|0.232913|0.172420|0.096235|0.090058|0.089878|0.063746|0.005000|0.005000,AAPL|AMZN|CMCSA|CSCO|GOOG|GOOGL|INTC|META|MSFT
2020-03-23,9,MSFT,True,Rebal,MSFT|AAPL|AMZN|GOOG|GOOGL|FB|INTC|NFLX|CMCSA,0.236928|0.227694|0.215469|0.082907|0.082768|0.081399|0.062835|0.005000|0.005000,AAPL|AMZN|CMCSA|GOOG|GOOGL|INTC|META|MSFT|NFLX
2020-06-22,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|FB|GOOGL|GOOG|INTC|NVDA|ADBE,0.243762|0.238362|0.212121|0.090144|0.078264|0.076486|0.050860|0.005000|0.005000,AAPL|ADBE|AMZN|GOOG|GOOGL|INTC|META|MSFT|NVDA
2020-09-21,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|FB|TSLA|GOOGL|GOOG|NVDA|ADBE,0.266277|0.216787|0.209733|0.084385|0.075550|0.069739|0.067528|0.005000|0.005000,AAPL|ADBE|AMZN|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2020-12-21,9,AAPL,True,Recon,AAPL|MSFT|AMZN|TSLA|FB|GOOG|GOOGL|NVDA|PYPL,0.254299|0.196298|0.187644|0.088920|0.076492|0.066926|0.060828|0.058593|0.010000,AAPL|AMZN|GOOG|GOOGL|META|MSFT|NVDA|PYPL|TSLA
2021-03-22,9,AAPL,True,Rebal,AAPL|MSFT|AMZN|TSLA|FB|GOOG|GOOGL|NVDA|PYPL,0.235830|0.202633|0.178346|0.090604|0.080386|0.076018|0.069528|0.056653|0.010000,AAPL|AMZN|GOOG|GOOGL|META|MSFT|NVDA|PYPL|TSLA
