rank,allocation_id,method,trigger,ema_span,review,crash_threshold,trailing_stop,derisk,cooldown,test_cagr,test_max_drawdown,test_cagr_delta,test_dd_delta,selection_score
50,8,AbsoluteBand:Yearly:0.05,combined,200,Daily,0.1,0.1,0.5,20,0.17122907381553243,-0.09754711693701112,-0.00580330410960217,0.056303332045892995,0.005526469770543098
51,2,AbsoluteBand:Yearly:0.2,combined,150,Daily,0.15,0.0,0.5,0,0.2033294195747508,-0.144810039380173,-0.0039360498805212085,0.05083748564096535,0.006352350852113574
52,1,AbsoluteBand:Yearly:0.2,combined,200,Monthly,0.125,0.15,0.5,20,0.19282672854128458,-0.14317578577785683,-0.004161516783982799,0.04945015298227118,0.00913077889331159
53,2,AbsoluteBand:Yearly:0.2,combined,150,Daily,0.075,0.0,1.0,0,0.20079942850886523,-0.13982209086288,-0.0064660409464067925,0.05582543415825836,0.018151588851128945
54,2,Calendar:Yearly,ema,150,Monthly,0.0,0.15,0.5,20,0.20247881900142617,-0.14857266189606877,-0.003537269521123765,0.047415513882506866,-0.0004896980551632023
55,5,Calendar:Yearly,combined,200,Monthly,0.125,0.15,0.5,20,0.18233063972448305,-0.12069445322982975,-0.0002568543212608798,0.03799588749785421,0.003878204711002718
56,8,Calendar:Yearly,crash,100,Monthly,0.1,0.1,0.5,20,0.171251305460695,-0.10231170720958582,-0.0023612098461902598,0.043802471131567655,0.010635748524541175
57,2,AbsoluteBand:Yearly:0.2,combined,150,Daily,0.125,0.15,0.5,0,0.2023849320487654,-0.14471541141385014,-0.004880537406506624,0.05093211360728822,0.008211374362790484
58,8,AbsoluteBand:Yearly:0.05,combined,150,Monthly,0.0,0.1,1.0,60,0.1696645539289552,-0.09620482391756757,-0.007367823996179412,0.05764562506533655,-0.06485179433776952
59,5,Calendar:Yearly,combined,200,Monthly,0.125,0.0,0.5,0,0.1817583316374931,-0.12069445322982975,-0.0008291624082508164,0.03799588749785421,0.012757317076028377
60,2,Calendar:Yearly,crash,100,Daily,0.075,0.1,1.0,0,0.19610859761606103,-0.1332253956744095,-0.009907490906488903,0.06276278010416614,0.004476459750906901
61,8,AbsoluteBand:Yearly:0.05,crash,100,Weekly,0.1,0.1,0.5,60,0.1693365539354872,-0.09754711693700968,-0.00769582398964741,0.05630333204589444,-0.0034204566567228095
62,8,AbsoluteBand:Yearly:0.05,crash,100,Daily,0.125,0.15,1.0,0,0.17834859741806897,-0.12330276425893916,0.0013162194929343674,0.030547684723964963,0.005114651524600506
63,8,Calendar:Yearly,combined,200,Monthly,0.1,0.0,0.5,20,0.1702054303125986,-0.10231170720958616,-0.0034070849942866577,0.04380247113156732,0.003854159320398477
64,8,Calendar:Yearly,crash,100,Daily,0.125,0.15,1.0,0,0.17496198713671074,-0.11603058759168394,0.001349471829825477,0.030083590749469535,0.0022601935877439236
65,2,Calendar:Yearly,combined,200,Daily,0.15,0.0,0.5,0,0.2034937380980446,-0.1554643837605274,-0.0025223504245053263,0.04052379201804823,0.013293259218968095
66,2,Calendar:Yearly,combined,200,Daily,0.15,0.15,0.5,0,0.2034937380980446,-0.1554643837605274,-0.0025223504245053263,0.04052379201804823,0.013293259218968095
67,8,Calendar:Yearly,crash,100,Weekly,0.1,0.15,0.5,60,0.16989016624852327,-0.10231170720958627,-0.0037223490583619956,0.04380247113156721,0.006270453021991327
68,1,Calendar:Yearly,crash,100,Monthly,0.125,0.0,1.0,20,0.1872627877438926,-0.14165612424159846,-0.007563714484961848,0.05430290011635808,-0.012664606905529164
69,7,Calendar:Yearly,combined,75,Monthly,0.125,0.0,0.5,20,0.1614444229779204,-0.11840019369355426,-0.002288709988538251,0.03825122949290294,0.008369786849829865
70,2,Calendar:Yearly,combined,150,Daily,0.0,0.0,0.5,0,0.19900254195743572,-0.14427940532685046,-0.007013546565114215,0.05170877045172517,0.005818407599292709
71,1,Calendar:Yearly,combined,200,Monthly,0.125,0.0,0.5,0,0.18628571057916932,-0.14165612424159768,-0.008540791649685131,0.054302900116358854,0.017074659081263995
72,7,Calendar:Yearly,combined,200,Monthly,0.125,0.0,0.5,0,0.15986242587141808,-0.11584173017901656,-0.0038707070950405598,0.04080969300744064,0.014228556189563112
73,8,Calendar:Yearly,combined,200,Monthly,0.1,0.1,0.5,20,0.16829147990474347,-0.10231170720958604,-0.005321035402141794,0.04380247113156743,0.0025813056680304486
74,1,Calendar:Yearly,crash,100,Daily,0.15,0.0,0.5,20,0.19408190178255547,-0.16557160085108746,-0.0007446004462989819,0.03038742350686907,0.02323969350569918
75,5,Calendar:Yearly,crash,100,Monthly,0.15,0.15,0.5,20,0.18156034659167708,-0.1281716242614206,-0.0010271474540668457,0.030518716466263363,-0.01993952907428435
76,7,Calendar:Yearly,crash,100,Monthly,0.125,0.0,1.0,60,0.1590745698277516,-0.11584173017901667,-0.00465856313870705,0.04080969300744053,-0.012765129526420612
77,7,Calendar:Yearly,crash,100,Monthly,0.125,0.15,1.0,60,0.1590745698277516,-0.11584173017901667,-0.00465856313870705,0.04080969300744053,-0.036873504099639604
78,8,AbsoluteBand:Yearly:0.05,crash,100,Weekly,0.0,0.1,1.0,60,0.17246880129394437,-0.11331242007821463,-0.004563576631190225,0.040538028904689494,-0.037245980250729005
79,2,AbsoluteBand:Yearly:0.2,combined,150,Daily,0.0,0.0,0.5,0,0.19899216184895985,-0.144810039380173,-0.008273307606312175,0.05083748564096535,0.0051576878727266
80,7,Calendar:Yearly,combined,200,Monthly,0.125,0.15,0.5,20,0.15848396303792933,-0.11584173017901667,-0.005249169928529307,0.04080969300744053,0.004851863246276048
81,8,Calendar:Yearly,combined,150,Monthly,0.1,0.0,0.5,20,0.1671668785130076,-0.10231170720958593,-0.006445636793877663,0.043802471131567544,0.005101961218665153
82,7,Calendar:Yearly,combined,75,Monthly,0.125,0.15,0.5,60,0.1582212314391196,-0.11584173017901667,-0.005511901527339047,0.04080969300744053,-0.027265763751531294
83,1,AbsoluteBand:Yearly:0.2,crash,100,Monthly,0.125,0.0,1.0,20,0.1884187875329535,-0.14317578577785683,-0.008569457792313884,0.04945015298227118,-0.012440425649606329
84,8,AbsoluteBand:Yearly:0.05,combined,150,Monthly,0.0,0.1,0.5,60,0.17380579994367817,-0.11984367607349755,-0.0032265779814564244,0.03400677290940657,-0.030998362077341836
85,5,Calendar:Yearly,combined,75,Monthly,0.0,0.15,0.5,20,0.17759436564800324,-0.1204822412635751,-0.004993128397740687,0.03820809946410886,-0.012381185594462085
86,7,Calendar:Yearly,crash,100,Weekly,0.15,0.0,0.5,60,0.1619765431732938,-0.1279664389044175,-0.0017565897931648422,0.028684984282039694,0.0045511638185869
87,2,Calendar:Yearly,crash,100,Daily,0.15,0.0,0.5,20,0.2036978848992519,-0.16600953890297154,-0.002318203623298043,0.029978636875604092,0.01873911056013376
88,1,AbsoluteBand:Yearly:0.2,combined,200,Monthly,0.125,0.0,0.5,0,0.1878248637858222,-0.14317578577785706,-0.009163381539445181,0.049450152982270956,0.016836617695125608
89,1,AbsoluteBand:Yearly:0.2,combined,150,Daily,0.1,0.15,0.5,0,0.19031594146558573,-0.15043908338979006,-0.00667230385968165,0.04218685537033795,-0.017227794929952432
90,2,AbsoluteBand:Yearly:0.2,crash,100,Daily,0.15,0.0,0.5,20,0.2049068017980129,-0.16579034900763578,-0.002358667657259117,0.029857176013502573,0.017648329078619504
91,7,Calendar:Yearly,combined,75,Monthly,0.125,0.0,1.0,20,0.15745514590736076,-0.11584173017901667,-0.006277987059097878,0.04080969300744053,0.00377290670010166
92,5,Calendar:Yearly,crash,100,Monthly,0.125,0.0,1.0,60,0.1772476544581556,-0.12069445322982963,-0.005339839587588324,0.03799588749785432,-0.020255685266830963
93,8,AbsoluteBand:Yearly:0.05,ema,150,Monthly,0.0,0.15,0.5,20,0.17269075539267287,-0.11984367607349766,-0.004341622532461731,0.03400677290940646,0.001860267487148834
94,1,AbsoluteBand:Yearly:0.2,crash,100,Daily,0.15,0.0,0.5,20,0.19496884472565523,-0.16562508604319237,-0.0020194005996121422,0.02700085271693564,0.02316125656114909
95,1,AbsoluteBand:Yearly:0.2,combined,150,Daily,0.125,0.15,0.5,0,0.18832659483137948,-0.14684770408600112,-0.008661650493887896,0.045778234674126894,-0.018122383371359057
96,7,Calendar:Yearly,combined,75,Monthly,0.0,0.15,0.5,60,0.1567925421376979,-0.11584173017901656,-0.006940590828760751,0.04080969300744064,-0.04686885448063615
97,1,AbsoluteBand:Yearly:0.2,combined,150,Daily,0.15,0.0,0.5,0,0.18870209403060678,-0.14845793759613035,-0.008286151294660593,0.04416800116399766,-0.0167130248389936
98,1,AbsoluteBand:Yearly:0.2,combined,150,Daily,0.0,0.0,0.5,0,0.18870209403060678,-0.14845793759613035,-0.008286151294660593,0.04416800116399766,-0.01856725508061328
99,8,EMA100:pro_rata:Monthly,crash,100,Weekly,0.1,0.15,0.5,60,0.22026720522364007,-0.09034398716283354,-0.004106150248730733,0.031229749071153945,-0.00882253339596812
100,7,Calendar:Yearly,combined,150,Monthly,0.15,0.15,0.5,0,0.1561774956267088,-0.11584173017901678,-0.007555637339749843,0.04080969300744042,0.0007394240853030361
consensus-1,,CONSENSUS,crash,100,Monthly,0.125,0.0,1.0,60,,,-0.001041756880499789,0.06949037647571349,-0.027628479956015
consensus-2,,CONSENSUS,crash,100,Monthly,0.125,0.0,1.0,20,,,0.003883589057914749,0.04945015298227118,-0.003884276747622073
consensus-3,,CONSENSUS,combined,150,Daily,0.1,0.15,0.5,0,,,-0.0036522100165763405,0.05516526051052306,0.0029959994244804855
consensus-4,,CONSENSUS,combined,150,Daily,0.075,0.15,0.5,0,,,-0.006062451626176135,0.057235400112157664,0.0034240385246333636
consensus-5,,CONSENSUS,combined,200,Monthly,0.125,0.15,0.5,20,,,-0.003542973000745908,0.04945015298227118,0.002785142195511184
consensus-6,,CONSENSUS,combined,200,Monthly,0.125,0.1,0.5,20,,,-0.004798775751648332,0.04913808310712581,-0.012680637623579637
consensus-7,,CONSENSUS,crash,100,Daily,0.125,0.15,1.0,0,,,0.001349471829825477,0.030547684723964963,-0.0012543618694193486
consensus-8,,CONSENSUS,combined,150,Daily,0.125,0.15,0.5,0,,,-0.00677109395019726,0.04835517414070756,-4.829759471848983e-05
consensus-9,,CONSENSUS,crash,100,Daily,0.075,0.1,0.5,0,,,-0.007721590220419405,0.05085232560990949,0.005500040199949949
